Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price
Nissan,Datsun,2016,Saudi,White,Full,2.4,Gas,Manual,68000,Riyadh,48000
Ford,Expedition,2016,Saudi,White,Semi Full,5.4,Gas,Automatic,98000,Riyadh,72000
Chevrolet,Tahoe,2016,Saudi,White,Semi Full,5.3,Gas,Automatic,197000,Riyadh,105000
Nissan,Patrol,2017,Saudi,Black,Semi Full,5.7,Gas,Automatic,93000,Riyadh,145000
Honda,Accord,2016,Gulf Arabic,Black,Semi Full,2.4,Gas,Automatic,68000,Riyadh,66000
Mazda,6,2017,Gulf Arabic,White,Standard,2.5,Gas,Automatic,70000,Riyadh,53000
Mazda,6,2015,Gulf Arabic,Blue,Standard,2.5,Gas,Automatic,82000,Riyadh,51000
Kia,Cerato,2016,Saudi,White,Standard,1.6,Gas,Automatic,47000,Riyadh,29000
Lexus,ES,2017,Gulf Arabic,Black,Full,3.5,Gas,Automatic,100000,Riyadh,105000
Toyota,Land Cruiser,2019,Gulf Arabic,White,Full,4.0,Gas,Automatic,62000,Riyadh,195000
Mazda,6,2012,Saudi,White,Standard,2.5,Gas,Automatic,129000,Riyadh,19000
Lexus,ES,2018,Gulf Arabic,Golden,Semi Full,3.5,Gas,Automatic,28000,Riyadh,122000
Land Rover,Range Rover,2013,Saudi,Grey,Full,3.0,Gas,Automatic,48000,Riyadh,103000
Toyota,Camry,2018,Saudi,Brown,Full,3.5,Gas,Automatic,80000,Riyadh,95000
Toyota,Hilux,2018,Saudi,White,Standard,2.7,Gas,Manual,126000,Riyadh,82000
Toyota,Furniture,2014,Saudi,White,Standard,2.7,Gas,Manual,182000,Dammam,50000
Ford,Expedition,2013,Saudi,White,Semi Full,5.5,Gas,Automatic,169000,Riyadh,44000
Ford,Mustang,2015,Saudi,Grey,Semi Full,2.3,Gas,Automatic,157000,Riyadh,80000
Honda,Accord,2014,Saudi,White,Full,2.5,Gas,Automatic,215,Riyadh,45000
Toyota,Furniture,2013,Saudi,Silver,Full,2.7,Gas,Automatic,182000,Jeddah,68500
Honda,Accord,2016,Other,White,Standard,1.4,Gas,Automatic,233000,Dammam,48000
Kia,Optima,2015,Gulf Arabic,White,Standard,2.4,Gas,Automatic,71000,Riyadh,45000
Ford,Marquis,2010,Other,Another Color,Semi Full,5.8,Gas,Automatic,500,Qassim,20000
Chevrolet,Suburban,2015,Saudi,Brown,Standard,2.8,Gas,Automatic,205000,Riyadh,85000
Suzuki,SX4,2009,Saudi,Blue,Standard,1.6,Gas,Automatic,150000,Jeddah,10000
Jeep,Grand Cherokee,2013,Saudi,Black,Full,5.7,Gas,Automatic,226,Aseer,45000
Toyota,Hiace,2013,Saudi,White,Standard,2.7,Gas,Manual,300000,Jeddah,42000
Ford,Expedition,2014,Saudi,Black,Standard,5.4,Gas,Automatic,170000,Riyadh,40000
Hyundai,Elantra,2012,Saudi,Silver,Standard,1.8,Gas,Automatic,222000,Makkah,17500
Mitsubishi,Pajero,2017,Saudi,Red,Full,3.5,Gas,Automatic,54000,Jeddah,73000
Ford,Victoria,2006,Saudi,White,Standard,4.6,Gas,Automatic,234000,Taef,22000
Hyundai,Accent,2019,Saudi,Silver,Standard,1.4,Gas,Automatic,58000,Riyadh,39000
Hyundai,Tucson,2016,Saudi,White,Full,2.0,Gas,Automatic,170000,Riyadh,58000
Geely,EC7,2016,Saudi,White,Full,1.8,Gas,Automatic,42420,Taef,35000
Toyota,Prado,2015,Saudi,White,Semi Full,4.0,Gas,Automatic,160000,Aseer,105000
Hyundai,Elantra,2018,Saudi,Silver,Standard,1.6,Gas,Automatic,57000,Riyadh,44000
Mazda,3,2016,Gulf Arabic,Grey,Standard,1.6,Gas,Automatic,165000,Dammam,45000
Toyota,Corolla,2018,Saudi,White,Semi Full,1.6,Gas,Automatic,43000,Riyadh,54500
Toyota,Hilux,2018,Saudi,White,Standard,2.7,Gas,Manual,59000,Jeddah,66000
Toyota,Land Cruiser,2021,Saudi,White,Full,4.6,Gas,Automatic,20000,Dammam,296000
Nissan,Datsun,2016,Saudi,White,Semi Full,2.4,Gas,Manual,87300,Dammam,53500
Mitsubishi,Pajero,2018,Gulf Arabic,Black,Full,3.8,Gas,Automatic,5000,Dammam,109000
Hyundai,Azera,2019,Saudi,White,Semi Full,3.5,Gas,Automatic,44271,Dammam,95000
Ford,Victoria,2011,Other,Black,Full,4.6,Gas,Automatic,150000,Jeddah,25000
Hyundai,Sonata,2013,Other,White,Full,1.6,Gas,Automatic,181000,Aseer,27000
Chevrolet,Caprice,2013,Saudi,Silver,Standard,6.0,Gas,Automatic,111000,Dammam,79000
Toyota,Furniture,2019,Saudi,White,Semi Full,2.4,Diesel,Automatic,25000,Riyadh,125000
Other,Other,2021,Other,Yellow,Semi Full,1.2,Gas,Manual,3000,Jeddah,5500
Toyota,Avanza,2018,Saudi,White,Semi Full,1.6,Gas,Automatic,41000,Riyadh,45000
Chevrolet,Caprice,2013,Saudi,Silver,Standard,6.0,Gas,Automatic,114000,Dammam,79000
Kia,Optima,2015,Saudi,Another Color,Semi Full,2.4,Gas,Automatic,220000,Hafar Al-Batin,42000
GMC,Yukon,2010,Saudi,Golden,Semi Full,5.3,Gas,Automatic,340000,Abha,62000
Toyota,Land Cruiser,2020,Saudi,White,Standard,4.0,Gas,Automatic,29277,Riyadh,180000
Geely,X7,2017,Saudi,Black,Full,2.4,Gas,Automatic,65000,Riyadh,45000
Volkswagen,Tiguan,2019,Saudi,Grey,Full,2.0,Gas,Automatic,60000,Riyadh,114000
Lexus,LX,2015,Gulf Arabic,Black,Full,5.7,Gas,Automatic,151000,Riyadh,156500
Toyota,Land Cruiser,2018,Gulf Arabic,Black,Full,5.7,Gas,Automatic,42000,Riyadh,241000
Chevrolet,Tahoe,2016,Saudi,Another Color,Semi Full,5.3,Gas,Automatic,168000,Riyadh,114500
Toyota,Hilux,2020,Gulf Arabic,White,Semi Full,2.7,Gas,Manual,15000,Riyadh,105000
Foton,Suvana,2017,Gulf Arabic,Silver,Full,2.7,Gas,Automatic,11000,Riyadh,43000
Volkswagen,Beetle,2015,Other,Black,Semi Full,1.8,Gas,Automatic,89000,Jeddah,54000
Dodge,Charger,2019,Saudi,Green,Full,3.6,Gas,Automatic,48000,Dammam,85000
Nissan,X-Trail,2016,Saudi,White,Semi Full,2.5,Gas,Automatic,142000,Aseer,46000
Cadillac,ATS,2016,Saudi,Black,Full,2.5,Gas,Automatic,88000,Al-Medina,70000
Land Rover,Range Rover,2016,Saudi,White,Full,4.0,Gas,Automatic,139000,Dammam,288000
Nissan,Pathfinder,2006,Other,Brown,Semi Full,4.0,Gas,Automatic,300000,Riyadh,15000
Hyundai,Sonata,2016,Saudi,White,Semi Full,2.4,Gas,Automatic,183700,Jeddah,45000
Toyota,Innova,2020,Saudi,Silver,Standard,2.7,Gas,Automatic,750,Al-Medina,83000
GMC,Acadia,2012,Gulf Arabic,White,Full,3.6,Gas,Automatic,220000,Riyadh,40000
Toyota,Hilux,2017,Saudi,White,Semi Full,2.7,Gas,Manual,106737,Jazan,75000
Kia,Optima,2015,Saudi,Navy,Semi Full,2.0,Gas,Automatic,359397,Riyadh,35000
Toyota,FJ,2008,Saudi,Black,Full,4.0,Gas,Automatic,390000,Riyadh,52000
Isuzu,D-MAX,2020,Saudi,White,Full,3.0,Diesel,Automatic,37000,Qassim,125000
Toyota,Camry,2019,Saudi,White,Full,2.5,Hybrid,Automatic,97000,Dammam,90000
Toyota,Land Cruiser,2003,Saudi,White,Standard,4.6,Gas,Manual,300,Riyadh,40000
Hyundai,Sonata,2018,Saudi,Another Color,Standard,2.4,Gas,Automatic,100000,Riyadh,52000
Mazda,CX9,2014,Saudi,Black,Full,3.5,Gas,Automatic,195000,Jeddah,46000
Honda,Odyssey,2010,Saudi,Bronze,Standard,4.6,Gas,Automatic,200000,Riyadh,22000
Jeep,Liberty,2012,Saudi,Black,Full,3.7,Gas,Automatic,128000,Riyadh,25000
Toyota,Camry,2001,Other,Golden,Semi Full,2.5,Gas,Automatic,346900,Dammam,17000
Kia,Cadenza,2017,Saudi,Brown,Standard,3.3,Gas,Automatic,15000,Riyadh,60000
Mazda,CX9,2019,Saudi,Another Color,Full,2.5,Gas,Automatic,33501,Jeddah,127000
Hyundai,Sonata,2007,Saudi,Another Color,Semi Full,2.4,Gas,Automatic,255559,Al-Medina,15000
Hyundai,Coupe,2013,Saudi,Black,Full,3.8,Gas,Automatic,80000,Jeddah,65000
Hyundai,Sonata,2012,Saudi,White,Full,2.4,Gas,Automatic,257000,Riyadh,28000
Toyota,Furniture,2015,Saudi,Grey,Standard,1.3,Gas,Automatic,243000,Riyadh,55000
Toyota,FJ,2013,Saudi,White,Full,4.0,Gas,Automatic,364000,Hafar Al-Batin,65000
Nissan,Altima,2018,Saudi,White,Semi Full,2.5,Gas,Automatic,77000,Jeddah,65000
Mercedes,ML,2013,Saudi,Brown,Full,3.5,Gas,Automatic,97000,Al-Medina,99000
Hyundai,Accent,2018,Saudi,Silver,Standard,1.4,Gas,Automatic,97300,Dammam,31000
GMC,Yukon,2009,Saudi,Black,Standard,5.3,Gas,Automatic,523000,Al-Ahsa,45000
Toyota,Avalon,2015,Saudi,White,Semi Full,3.5,Gas,Automatic,167,Riyadh,51000
Lexus,RC,2019,Other,White,Full,3.6,Gas,Automatic,42000,Dammam,215000
Chevrolet,Tahoe,2013,Saudi,Silver,Semi Full,5.2,Gas,Automatic,201866,Riyadh,57000
Hyundai,Sonata,2017,Saudi,White,Standard,2.4,Gas,Automatic,155000,Riyadh,54000
Hyundai,Sonata,2016,Other,White,Full,1.6,Diesel,Automatic,78220,Qassim,62000
Nissan,Sunny,2019,Gulf Arabic,Silver,Standard,1.5,Gas,Automatic,92300,Riyadh,29000
Hyundai,Sonata,2020,Saudi,Grey,Semi Full,2.5,Gas,Automatic,44000,Riyadh,88000
Toyota,Hiace,2016,Saudi,White,Standard,2.7,Gas,Manual,184000,Riyadh,70000
Mitsubishi,Pajero,2017,Saudi,Black,Full,3.8,Gas,Automatic,69000,Dammam,77000
Ford,Taurus,2018,Saudi,Silver,Standard,2.0,Gas,Automatic,95000,Dammam,75000
Hyundai,Accent,2019,Saudi,White,Standard,1.4,Gas,Automatic,62500,Dammam,37000
Ford,Taurus,2016,Saudi,Silver,Semi Full,2.0,Gas,Automatic,148000,Makkah,58000
Toyota,Land Cruiser,2014,Gulf Arabic,White,Full,4.5,Gas,Automatic,213000,Dammam,138000
Mitsubishi,Pajero,2016,Saudi,White,Full,3.5,Gas,Automatic,126000,Dammam,64000
Hyundai,H1,2018,Saudi,Grey,Standard,2.4,Gas,Automatic,129000,Riyadh,55000
Kia,Cerato,2020,Saudi,Grey,Standard,1.6,Gas,Automatic,36000,Riyadh,53000
Chrysler,C300,2008,Other,Black,Full,5.7,Gas,Automatic,114000,Riyadh,20000
Hyundai,Accent,2018,Saudi,White,Standard,1.4,Gas,Automatic,130000,Dammam,32000
Mazda,CX9,2015,Gulf Arabic,Grey,Full,2.4,Gas,Automatic,138020,Qassim,58000
Kia,Cerato,2017,Saudi,Navy,Full,1.6,Gas,Automatic,77500,Jeddah,42000
Kia,Cerato,2014,Other,Another Color,Semi Full,1.6,Gas,Automatic,187,Riyadh,25000
Toyota,Camry,2014,Saudi,White,Standard,2.4,Gas,Automatic,183000,Dammam,34000
Genesis,Prestige Plus,2016,Saudi,White,Semi Full,3.8,Gas,Automatic,132300,Riyadh,70000
Toyota,Land Cruiser,2002,Saudi,White,Semi Full,4.5,Gas,Manual,400,Jazan,40000
MINI,Copper,2016,Gulf Arabic,Oily,Full,2.0,Gas,Automatic,107000,Dammam,80000
Chevrolet,Tahoe,2016,Saudi,White,Standard,5.3,Gas,Automatic,140641,Jeddah,2333
Toyota,Land Cruiser,2015,Saudi,White,Full,4.0,Gas,Automatic,92000,Jeddah,165000
Toyota,Land Cruiser,2014,Saudi,Black,Full,5.7,Gas,Automatic,178000,Jeddah,155000
Toyota,Furniture,2020,Saudi,White,Standard,2.7,Gas,Automatic,1200,Jeddah,110000
Toyota,Hilux,2016,Gulf Arabic,White,Full,2.7,Gas,Manual,86000,Jubail,60000
Toyota,Land Cruiser 70,2012,Saudi,Another Color,Semi Full,4.0,Gas,Manual,327193,Riyadh,75000
Ford,Taurus,2011,Saudi,Silver,Standard,3.5,Gas,Automatic,369000,Riyadh,37500
Hyundai,Elantra,2017,Saudi,White,Semi Full,2.0,Gas,Automatic,126009,Riyadh,40500
Hyundai,Tucson,2016,Saudi,White,Full,2.4,Gas,Automatic,147000,Khobar,45000
Dodge,Charger,2014,Other,Silver,Full,3.6,Gas,Automatic,180000,Jeddah,35000
FAW,X40,2020,Saudi,White,Full,1.1,Gas,Automatic,53000,Jeddah,35000
Chevrolet,Traverse,2017,Saudi,White,Standard,3.6,Gas,Automatic,308400,Riyadh,45000
Toyota,Land Cruiser,2007,Saudi,White,Semi Full,1.0,Gas,Automatic,400000,Taef,30000
Toyota,Hiace,2015,Gulf Arabic,White,Standard,2.7,Gas,Manual,280000,Jazan,50000
Chevrolet,Aveo,2011,Other,Blue,Standard,1.2,Gas,Manual,102000,Qassim,11000
Chevrolet,Abeka,2009,Saudi,White,Semi Full,2.0,Gas,Automatic,370000,Jeddah,11000
Mercedes,E,2015,Other,Black,Full,2.2,Diesel,Automatic,127000,Jeddah,85000
Dodge,Challenger,2013,Saudi,Grey,Full,6.4,Gas,Automatic,249000,Jeddah,70000
Hyundai,Senta fe,2013,Saudi,White,Semi Full,3.3,Gas,Automatic,282000,Riyadh,43000
Hyundai,Azera,2018,Saudi,White,Full,3.5,Gas,Automatic,76000,Dammam,78000
Nissan,Maxima,2011,Other,Another Color,Semi Full,3.5,Gas,Automatic,34000,Dammam,20000
Toyota,Land Cruiser,2012,Saudi,White,Semi Full,6.6,Gas,Manual,109,Al-Baha,120000
Volkswagen,CC,2014,Saudi,Brown,Full,2.0,Gas,Automatic,163672,Riyadh,55000
GMC,Sierra,2012,Saudi,Another Color,Standard,5.3,Gas,Automatic,329000,Dammam,40000
Ford,Explorer,2014,Saudi,Silver,Standard,3.5,Gas,Automatic,150000,Dammam,50000
Toyota,Hilux,2019,Saudi,Another Color,Full,2.7,Gas,Automatic,80000,Riyadh,120000
Hyundai,Elantra,2017,Gulf Arabic,Grey,Full,1.6,Gas,Automatic,136000,Al-Ahsa,39000
Chrysler,C300,2016,Other,Grey,Full,3.6,Gas,Automatic,121000,Qassim,72000
Toyota,Hiace,2016,Saudi,White,Standard,2.7,Gas,Manual,350000,Dammam,60000
Jaguar,XF,2015,Saudi,Red,Full,3.5,Gas,Automatic,100000,Makkah,65000
Ford,Taurus,2010,Saudi,Silver,Semi Full,3.5,Gas,Automatic,337000,Riyadh,25000
Ford,Mustang,2020,Other,Black,Full,2.3,Gas,Automatic,19000,Riyadh,160000
Ford,Taurus,2010,Saudi,Black,Semi Full,3.0,Gas,Automatic,360000,Riyadh,23000
Chevrolet,Cruze,2015,Saudi,Silver,Standard,1.6,Gas,Automatic,119000,Dammam,27500
Ford,Expedition,2014,Saudi,Black,Standard,5.4,Gas,Automatic,162000,Dammam,55000
GMC,Yukon,2008,Saudi,Black,Standard,5.3,Gas,Automatic,500000,Riyadh,33000
Chevrolet,Spark,2019,Saudi,White,Semi Full,1.4,Gas,Automatic,58000,Riyadh,26000
Mitsubishi,Pajero,2012,Saudi,White,Semi Full,3.0,Gas,Automatic,360000,Riyadh,24000
Changan,Eado,2020,Saudi,Brown,Semi Full,1.5,Gas,Automatic,61760,Riyadh,42000
Hyundai,Sonata,2017,Saudi,White,Standard,2.4,Gas,Automatic,92000,Dammam,54000
Ford,Marquis,2009,Other,Silver,Semi Full,4.6,Gas,Automatic,260,Riyadh,22000
Toyota,Rav4,2018,Other,Silver,Full,2.7,Gas,Automatic,56625,Al-Ahsa,82500
GMC,Yukon,2003,Other,Golden,Standard,5.3,Gas,Automatic,240000,Riyadh,15000
Chrysler,300,2007,Saudi,Another Color,Full,5.7,Gas,Automatic,240000,Dammam,17000
Mercedes,S,2007,Other,Bronze,Full,4.0,Gas,Automatic,315000,Dammam,42000
Ford,Edge,2011,Saudi,White,Full,3.5,Gas,Automatic,231000,Riyadh,35000
Chevrolet,Malibu,2013,Saudi,Another Color,Semi Full,2.5,Gas,Automatic,250000,Dammam,30000
Lexus,LS,2015,Other,White,Semi Full,4.6,Gas,Automatic,51000,Riyadh,200000
Ford,Fusion,2012,Saudi,Silver,Semi Full,2.5,Gas,Automatic,240000,Jeddah,19500
Toyota,Hilux,2015,Gulf Arabic,White,Full,2.7,Gas,Manual,105400,Dammam,62000
Ford,Taurus,2017,Saudi,White,Standard,3.5,Gas,Automatic,135000,Dammam,65000
Toyota,Innova,2015,Saudi,White,Standard,2.7,Gas,Automatic,250000,Makkah,38500
GMC,Yukon,2010,Gulf Arabic,Golden,Semi Full,5.3,Gas,Automatic,335000,Riyadh,32000
Mitsubishi,Pajero,2016,Gulf Arabic,White,Full,3.8,Gas,Automatic,200,Al-Medina,60000
Nissan,Pathfinder,2005,Saudi,White,Semi Full,3.5,Gas,Automatic,308,Dammam,13000
Toyota,Land Cruiser,2013,Gulf Arabic,Golden,Full,1.0,Gas,Manual,378000,Hail,75000
Toyota,Avalon,2020,Saudi,Black,Semi Full,3.5,Gas,Automatic,30000,Riyadh,127000
Toyota,Camry,2012,Saudi,White,Standard,2.4,Gas,Automatic,217000,Riyadh,39500
Hyundai,H1,2014,Other,White,Standard,2.5,Diesel,Automatic,220000,Jazan,50000
Audi,A5,2016,Saudi,Red,Full,2.0,Gas,Automatic,108000,Riyadh,80000
Land Rover,Range Rover,2006,Saudi,White,Full,5.0,Gas,Automatic,220000,Dammam,30000
Toyota,Prado,2017,Saudi,White,Semi Full,4.0,Gas,Automatic,89000,Dammam,118000
Kia,Sorento,2017,Saudi,Another Color,Semi Full,3.5,Gas,Automatic,79260,Dammam,70000
Hyundai,Elantra,2020,Saudi,White,Standard,2.0,Gas,Automatic,120000,Dammam,53000
Hyundai,Elantra,2020,Saudi,White,Standard,2.0,Gas,Automatic,102000,Dammam,53000
Mazda,6,2016,Saudi,Brown,Standard,2.5,Gas,Automatic,267000,Dammam,50000
Toyota,Corolla,2017,Saudi,Silver,Standard,1.6,Gas,Automatic,100000,Dammam,44000
Ford,Taurus,2015,Other,Another Color,Semi Full,3.5,Gas,Automatic,120000,Dammam,65000
Toyota,Camry,2017,Saudi,Grey,Standard,2.5,Gas,Automatic,180000,Dammam,58000
Toyota,Hilux,2015,Gulf Arabic,White,Semi Full,2.7,Gas,Manual,246000,Dammam,57000
Hyundai,Elantra,2018,Saudi,White,Standard,2.0,Gas,Automatic,116000,Dammam,48000
Toyota,Corolla,2017,Saudi,Silver,Standard,1.6,Gas,Automatic,110000,Dammam,45000
Ford,Ranger,2015,Saudi,White,Semi Full,2.0,Gas,Manual,219000,Dammam,45000
Kia,Optima,2014,Saudi,White,Semi Full,2.0,Gas,Automatic,241000,Dammam,35000
Nissan,Sunny,2019,Saudi,White,Standard,1.5,Gas,Automatic,68000,Dammam,33000
Nissan,Sunny,2019,Saudi,Brown,Standard,1.5,Gas,Automatic,60700,Dammam,33000
Chevrolet,Colorado,2013,Saudi,White,Standard,1.4,Gas,Manual,196000,Dammam,28000
Chevrolet,Colorado,2013,Saudi,White,Standard,2.0,Gas,Manual,196000,Dammam,28000
Hyundai,Accent,2016,Saudi,White,Standard,1.4,Gas,Automatic,178000,Dammam,25000
Toyota,Yaris,2019,Saudi,White,Standard,1.5,Gas,Automatic,54000,Qassim,35000
Ford,F150,2016,Gulf Arabic,White,Semi Full,5.0,Gas,Automatic,115000,Qassim,93000
Mercedes,GL,2015,Saudi,White,Full,4.6,Gas,Automatic,178000,Riyadh,145000
Genesis,Coupe,2014,Saudi,White,Full,3.8,Gas,Automatic,89000,Dammam,65000
Nissan,X-Trail,2018,Saudi,Blue,Standard,2.5,Gas,Automatic,23936,Riyadh,72000
Mercedes,C,2015,Gulf Arabic,Black,Semi Full,2.0,Gas,Automatic,85000,Qassim,119000
Hyundai,Sonata,2016,Saudi,Another Color,Full,2.4,Gas,Automatic,136000,Riyadh,42500
Chevrolet,Malibu,2017,Gulf Arabic,White,Standard,2.4,Gas,Automatic,146000,Riyadh,40500
Mazda,CX3,2019,Saudi,Black,Semi Full,2.0,Gas,Automatic,25000,Abha,58000
Chevrolet,Impala,2019,Saudi,White,Standard,3.6,Gas,Automatic,178000,Riyadh,67000
Chevrolet,Tahoe,2015,Saudi,Bronze,Standard,5.3,Gas,Automatic,188000,Riyadh,100000
Hyundai,Accent,2018,Saudi,White,Standard,1.4,Gas,Automatic,68000,Riyadh,36500
Toyota,Prado,2019,Gulf Arabic,White,Full,4.7,Gas,Automatic,65000,Riyadh,151000
Toyota,Prado,2019,Gulf Arabic,White,Full,4.0,Gas,Automatic,82000,Riyadh,149000
Chevrolet,Tahoe,2015,Saudi,Golden,Full,5.6,Gas,Automatic,188000,Riyadh,99500
Chrysler,C300,2012,Saudi,Black,Full,5.7,Gas,Automatic,230000,Riyadh,35000
Lexus,LX,2013,Saudi,Golden,Full,5.7,Gas,Automatic,256000,Riyadh,155000
Hyundai,Accent,2017,Saudi,Grey,Standard,1.4,Gas,Automatic,158000,Dammam,29000
Nissan,Altima,2015,Gulf Arabic,Brown,Standard,2.5,Gas,Automatic,60829,Qassim,48000
Hyundai,Veloster,2013,Saudi,White,Full,2.0,Gas,Automatic,149675,Jeddah,25000
Toyota,Corolla,2018,Saudi,Silver,Standard,1.6,Gas,Automatic,40000,Dammam,42000
Porsche,Cayenne,2015,Saudi,White,Full,3.6,Gas,Automatic,114000,Riyadh,155000
Toyota,Hilux,2015,Saudi,White,Standard,2.7,Gas,Manual,239900,Dammam,46000
Toyota,Prado,2012,Saudi,White,Full,4.0,Gas,Automatic,240000,Jazan,70000
Hyundai,Senta fe,2012,Gulf Arabic,Brown,Semi Full,1.0,Gas,Automatic,200000,Al-Medina,29000
Toyota,Land Cruiser,2006,Gulf Arabic,White,Full,4.7,Gas,Automatic,382,Al-Ahsa,45000
Chevrolet,Malibu,2015,Saudi,White,Semi Full,2.5,Gas,Automatic,190217,Aseer,27000
Kia,Rio,2014,Other,Another Color,Standard,1.4,Gas,Automatic,203331,Makkah,20000
Ford,Explorer,2006,Other,Red,Full,2.6,Gas,Automatic,35000,Aseer,15000
Cadillac,CT6,2017,Saudi,Silver,Full,3.0,Gas,Automatic,70000,Jeddah,175000
Škoda,Fabia,2007,Saudi,Red,Standard,1.2,Gas,Manual,219000,Riyadh,6000
Nissan,Altima,2017,Saudi,White,Standard,2.5,Gas,Automatic,64000,Riyadh,58000
Land Rover,Range Rover,2014,Saudi,Brown,Full,2.0,Gas,Automatic,48000,Jeddah,100000
Mercedes,ML,2000,Saudi,Silver,Full,3.3,Gas,Automatic,111744,Jeddah,18000
Toyota,Corolla,2006,Gulf Arabic,Golden,Full,1.8,Gas,Manual,320000,Al-Ahsa,18000
Toyota,Rav4,2001,Saudi,Grey,Standard,2.0,Gas,Automatic,480,Jeddah,14000
Hyundai,Azera,2021,Unknown,Black,Semi Full,3.5,Gas,Automatic,16000,Riyadh,1770
Ford,Taurus,2013,Unknown,White,Standard,3.5,Gas,Automatic,300000,Dammam,40000
Toyota,Camry,2010,Unknown,Silver,Standard,2.5,Gas,Automatic,400000,Riyadh,22000
Toyota,Camry,2020,Unknown,White,Full,2.5,Gas,Automatic,10616,Al-Medina,104500
Nissan,Maxima,2004,Saudi,Silver,Full,3.0,Gas,Automatic,230000,Riyadh,15000
Mazda,6,2018,Saudi,Silver,Full,2.5,Gas,Automatic,76000,Makkah,1640
Mitsubishi,Pajero,2016,Gulf Arabic,White,Semi Full,6.0,Gas,Automatic,200000,Qassim,53000
Hyundai,Elantra,2017,Saudi,Brown,Standard,2.0,Gas,Automatic,135000,Riyadh,35000
Hyundai,Azera,2011,Other,Grey,Semi Full,3.5,Gas,Automatic,447,Riyadh,21000
Ford,Victoria,2004,Saudi,Silver,Standard,4.6,Gas,Automatic,78000,Khobar,40000
GMC,Terrain,2013,Saudi,Black,Semi Full,2.4,Gas,Automatic,90000,Jeddah,35000
Ford,Taurus,2016,Saudi,Silver,Semi Full,3.5,Gas,Automatic,60100,Aseer,85000
Hyundai,Senta fe,2015,Saudi,Brown,Standard,1.1,Gas,Automatic,280000,Jazan,45000
Mazda,CX5,2021,Saudi,Grey,Full,2.5,Gas,Automatic,845,Khobar,129000
Toyota,Corolla,2016,Saudi,Silver,Standard,1.6,Gas,Automatic,190000,Abha,32000
Ford,Taurus,2016,Gulf Arabic,Grey,Semi Full,3.5,Gas,Automatic,48000,Jeddah,80000
Renault,Fluence,2015,Saudi,Grey,Standard,1.6,Gas,Automatic,121913,Riyadh,29000
Dodge,Charger,2013,Saudi,Black,Full,5.7,Gas,Automatic,216841,Abha,40000
BMW,The 7,2014,Saudi,Navy,Full,6.0,Gas,Automatic,182000,Jeddah,90000
Mazda,CX5,2021,Saudi,White,Full,2.5,Gas,Automatic,14000,Riyadh,125000
Toyota,Yaris,2016,Saudi,White,Standard,1.5,Gas,Automatic,100,Yanbu,32000
Renault,Megane,2020,Gulf Arabic,White,Standard,1.6,Gas,Automatic,6400,Jeddah,42000
Hyundai,Accent,2019,Saudi,White,Semi Full,1.4,Gas,Automatic,98000,Tabouk,36500
Toyota,Camry,2000,Gulf Arabic,White,Standard,1.6,Gas,Automatic,40000,Dammam,16000
Hyundai,Accent,2019,Saudi,Blue,Semi Full,1.4,Gas,Automatic,89000,Tabouk,39000
GMC,Yukon,2013,Saudi,Brown,Semi Full,5.3,Gas,Automatic,150000,Riyadh,65000
Genesis,Platinum,2015,Saudi,White,Full,3.8,Gas,Automatic,208000,Riyadh,95000
HAVAL,H2,2021,Saudi,Another Color,Full,1.5,Gas,Automatic,6000,Khobar,57900
Chevrolet,Caprice,2009,Saudi,Blue,Standard,6.0,Gas,Manual,230945,Tabouk,15000
Chevrolet,Traverse,2011,Saudi,Black,Semi Full,2.5,Gas,Automatic,65000,Jeddah,35000
Toyota,Ciocca,2016,Saudi,Grey,Semi Full,5.7,Gas,Automatic,333000,Dammam,78000
Nissan,Maxima,2002,Other,Another Color,Full,3.0,Gas,Automatic,340000,Jeddah,12000
Honda,Odyssey,2016,Saudi,Red,Semi Full,2.0,Gas,Automatic,150000,Jeddah,60000
Toyota,Prado,2016,Saudi,Silver,Semi Full,4.0,Gas,Automatic,97000,Dammam,119000
Hyundai,Elantra,2017,Other,White,Semi Full,1.6,Diesel,Automatic,91269,Qassim,50000
Kia,Picanto,2010,Saudi,Grey,Standard,1.0,Gas,Manual,200000,Jeddah,10000
Kia,Sportage,2019,Saudi,Golden,Standard,1.6,Gas,Automatic,43000,Khobar,68000
Ford,Expedition,2020,Saudi,Black,Semi Full,5.4,Gas,Automatic,14000,Al-Medina,173000
Hyundai,Elantra,2015,Saudi,White,Semi Full,2.0,Gas,Automatic,230000,Riyadh,30000
BMW,The 5,2016,Saudi,Another Color,Semi Full,2.0,Gas,Automatic,66000,Riyadh,90000
Toyota,Camry,2015,Gulf Arabic,White,Semi Full,2.4,Gas,Automatic,140000,Al-Medina,45000
Toyota,Camry,2014,Gulf Arabic,White,Full,2.0,Gas,Automatic,120000,Dammam,45000
Mitsubishi,Pajero,2016,Saudi,White,Full,3.5,Gas,Automatic,190000,Dammam,58000
Ford,Taurus,2018,Saudi,Another Color,Standard,3.6,Gas,Automatic,78000,Riyadh,92000
Jeep,Wrangler,2017,Gulf Arabic,Black,Standard,3.6,Gas,Automatic,82000,Dammam,93000
Toyota,Innova,2014,Saudi,White,Standard,2.7,Gas,Automatic,180000,Riyadh,45000
